"고유번호","환승시작역","환승시작 코드","환승시작 호선","하차 열차 방면","하차위치(호차)","하차위치(문)","환승종료역","환승종료역 코드","환승종료 호선","환승 열차 방면","환승 승차위치(호차)","환승 승차위치(문)","소요시간"
1,서울역,"0150","1",시청 방면,"1","1",서울역,"4201",공항철도,공덕 방면,"3","2","10:00"
2,서울역,"0150","1",남영 방면,"1","2",서울역,"0426","4",숙대입구 방면,"3","3","03:34"
3,서울역,"0150","1",남영 방면,"10","4",서울역,"4201",공항철도,공덕 방면,"3","2","10:00"
4,서울역,"0150","1",시청 방면,"10","4",서울역,"0426","4",회현 방면,"3","3","03:34"
5,서울역,"0150","1",시청 방면,"10","4",서울역,"0426","4",숙대입구 방면,"3","3","03:34"
6,서울역,"0150","1",남영 방면,"1","2",서울역,"0426","4",회현 방면,"3","3","03:34"
7,시청,"0151","1",서울역 방면,"1","1",시청,"0201","2",충정로 방면,"1","1","03:32"
8,시청,"0151","1",서울역 방면,"1","1",시청,"0201","2",을지로입구 방면,"1","1","03:32"
9,시청,"0151","1",종각 방면,"10","4",시청,"0201","2",을지로입구 방면,"1","1","03:32"
10,시청,"0151","1",종각 방면,"10","4",시청,"0201","2",충정로 방면,"1","1","03:32"
11,종로3가,"0153","1",종로5가 방면,"6","1",종로3가,"0319","3",을지로3가 방면,"10","4","02:41"
12,종로3가,"0153","1",종각 방면,"5","4",종로3가,"0319","3",안국 방면,"10","4","02:41"
13,종로3가,"0153","1",종각 방면,"7","3",종로3가,"2535","5",광화문 방면,"1","1","05:26"
14,종로3가,"0153","1",종로5가 방면,"6","1",종로3가,"0319","3",안국 방면,"10","4","02:41"
15,종로3가,"0153","1",종각 방면,"5","4",종로3가,"0319","3",을지로3가 방면,"10","4","02:41"
16,종로3가,"0153","1",종로5가 방면,"6","1",종로3가,"2535","5",광화문 방면,"1","1","05:26"
17,종로3가,"0153","1",종각 방면,"7","3",종로3가,"2535","5",을지로4가 방면,"1","1","05:26"
18,종로3가,"0153","1",종로5가 방면,"6","1",종로3가,"2535","5",을지로4가 방면,"1","1","05:26"
19,동대문,"0155","1",종로5가 방면,"1","4",동대문,"0421","4",동대문역사문화공원 방면,"3","3","04:23"
20,동대문,"0155","1",종로5가 방면,"1","4",동대문,"0421","4",혜화 방면,"3","3","04:23"
21,동대문,"0155","1",신설동 방면,"9","3",동대문,"0421","4",혜화 방면,"3","3","04:23"
22,동대문,"0155","1",신설동 방면,"9","3",동대문,"0421","4",동대문역사문화공원 방면,"3","3","04:23"
23,신설동,"0156","1",동묘앞 방면,"2","1",신설동,"4713",우이신설경전철,보문 방면,"2","1","03:07"
24,신설동,"0156","1",제기동 방면,"9","4",신설동,"0246","2",용두 방면,"1","1","03:07"
25,신설동,"0156","1",제기동 방면,"9","4",신설동,"4713",우이신설경전철,보문 방면,"2","1","03:07"
26,신설동,"0156","1",동묘앞 방면,"2","1",신설동,"0246","2",용두 방면,"1","1","03:07"
27,청량리,"0158","1",제기동 방면,"10","4",청량리,"1014",경의선,왕십리 방면,"1","1","03:00"
28,청량리,"0158","1",회기 방면,"1","1",청량리,"1014",경의선,회기 방면,"1","1","03:00"
29,청량리,"0158","1",회기 방면,"1","1",청량리,"1014",경의선,왕십리 방면,"1","1","03:00"
30,청량리,"0158","1",제기동 방면,"10","4",청량리,"1014",경의선,회기 방면,"1","1","03:00"
31,동묘앞,"0159","1",신설동 방면,"9","2",동묘앞,"2637","6",신당 방면,"2","2","03:00"
32,동묘앞,"0159","1",동대문 방면,"7","1",동묘앞,"2637","6",창신 방면,"2","2","03:00"
33,동묘앞,"0159","1",동대문 방면,"7","1",동묘앞,"2637","6",신당 방면,"2","2","03:00"
34,동묘앞,"0159","1",신설동 방면,"9","2",동묘앞,"2637","6",창신 방면,"2","2","03:00"
35,까치산,"0200","2",신정 방면,"1","1",까치산,"2519","5",신정 방면,"1","1","01:37"
36,까치산,"0200","2",화곡 방면,"1","1",까치산,"2519","5",화곡 방면,"1","1","01:37"
37,시청,"0201","2",을지로입구 방면,"10","4",시청,"0151","1",종각 방면,"10","4","03:32"
38,시청,"0201","2",충정로 방면,"1","1",시청,"0151","1",서울역 방면,"10","4","03:32"
39,시청,"0201","2",충정로 방면,"1","1",시청,"0151","1",종각 방면,"10","4","03:32"
40,시청,"0201","2",을지로입구 방면,"10","4",시청,"0151","1",서울역 방면,"10","4","03:32"
41,을지로3가,"0203","2",을지로4가 방면,"1","1",을지로3가,"0320","3",충무로 방면,"4","2","03:40"
42,을지로3가,"0203","2",을지로4가 방면,"1","1",을지로3가,"0320","3",종로3가 방면,"4","2","03:40"
43,을지로3가,"0203","2",을지로입구 방면,"10","4",을지로3가,"0320","3",충무로 방면,"4","2","03:40"
44,을지로3가,"0203","2",을지로입구 방면,"10","4",을지로3가,"0320","3",종로3가 방면,"4","2","03:40"
45,을지로4가,"0204","2",을지로3가 방면,"7","2",을지로4가,"2536","5",종로3가 방면,"2","1","02:59"
46,을지로4가,"0204","2",을지로3가 방면,"7","2",을지로4가,"2536","5",동대문역사문화공원 방면,"2","1","02:59"
47,을지로4가,"0204","2",동대문역사문화공원 방면,"4","3",을지로4가,"2536","5",동대문역사문화공원 방면,"2","1","02:59"
48,을지로4가,"0204","2",동대문역사문화공원 방면,"4","3",을지로4가,"2536","5",종로3가 방면,"2","1","02:59"
49,동대문역사문화공원,"0205","2",신당 방면,"8","1",동대문역사문화공원,"2537","5",을지로4가 방면,"1","1","02:24"
50,동대문역사문화공원,"0205","2",신당 방면,"8","1",동대문역사문화공원,"2537","5",청구 방면,"1","1","02:24"
51,동대문역사문화공원,"0205","2",을지로4가 방면,"2","4",동대문역사문화공원,"0422","4",충무로 방면,"10","4","02:20"
52,동대문역사문화공원,"0205","2",을지로4가 방면,"2","4",동대문역사문화공원,"0422","4",동대문 방면,"10","4","02:20"
53,동대문역사문화공원,"0205","2",을지로4가 방면,"3","4",동대문역사문화공원,"2537","5",청구 방면,"1","1","02:24"
54,동대문역사문화공원,"0205","2",을지로4가 방면,"3","4",동대문역사문화공원,"2537","5",을지로4가 방면,"1","1","02:24"
55,동대문역사문화공원,"0205","2",신당 방면,"9","2",동대문역사문화공원,"0422","4",충무로 방면,"10","4","02:20"
56,동대문역사문화공원,"0205","2",신당 방면,"9","2",동대문역사문화공원,"0422","4",동대문 방면,"10","4","02:20"
57,신당,"0206","2",동대문역사문화공원 방면,"1","1",신당,"2636","6",청구 방면,"8","4","04:01"
58,신당,"0206","2",상왕십리 방면,"10","4",신당,"2636","6",청구 방면,"8","4","04:01"
59,신당,"0206","2",동대문역사문화공원 방면,"1","1",신당,"2636","6",동묘앞 방면,"8","4","04:01"
60,신당,"0206","2",상왕십리 방면,"10","4",신당,"2636","6",동묘앞 방면,"8","4","04:01"
61,왕십리,"0208","2",상왕십리 방면,"8","4",왕십리,"102C",수인분당선,서울숲 방면,"3","4","07:00"
62,왕십리,"0208","2",상왕십리 방면,"5","4",왕십리,"2541","5",마장 방면,"5","2","03:44"
63,왕십리,"0208","2",한양대 방면,"6","1",왕십리,"2541","5",마장 방면,"5","2","03:44"
64,왕십리,"0208","2",상왕십리 방면,"5","4",왕십리,"2541","5",행당 방면,"5","2","03:44"
65,왕십리,"0208","2",한양대 방면,"3","1",왕십리,"102C",수인분당선,서울숲 방면,"3","4","07:00"
66,왕십리,"0208","2",한양대 방면,"6","1",왕십리,"2541","5",행당 방면,"5","2","03:44"
67,왕십리,"0208","2",상왕십리 방면,"3","1",왕십리,"1013",경의선,응봉 방면,"4","2","02:49"
68,왕십리,"0208","2",한양대 방면,"8","4",왕십리,"1013",경의선,청량리 방면,"4","2","02:49"
69,왕십리,"0208","2",한양대 방면,"8","4",왕십리,"1013",경의선,응봉 방면,"4","2","02:49"
70,왕십리,"0208","2",상왕십리 방면,"8","4",왕십리,"1013",경의선,청량리 방면,"4","2","02:49"
71,성수,"0211","2",뚝섬 방면,"3","1",성수,"0211","2",용답 방면,모든 호차,모든 문,"00:38"
72,성수,"0211","2",건대입구 방면,"10","4",성수,"0211","2",용답 방면,모든 호차,모든 문,"00:38"
882,성수,"0211","2",뚝섬 방면,모든 호차,모든 문,성수,"0211","2",뚝섬 방면,"10","4","00:38"
883,성수,"0211","2",건대입구 방면,"4","4",성수,"0211","2",건대입구 방면,"10","4","00:38"
73,건대입구,"0212","2",구의 방면,"3","2",건대입구,"2729","7",자양 방면,"8","4","02:32"
74,건대입구,"0212","2",구의 방면,"3","2",건대입구,"2729","7",어린이대공원 방면,"8","4","02:32"
75,건대입구,"0212","2",성수 방면,"8","3",건대입구,"2729","7",어린이대공원 방면,"8","4","02:32"
76,건대입구,"0212","2",성수 방면,"8","3",건대입구,"2729","7",자양 방면,"8","4","02:32"
77,잠실,"0216","2",잠실나루 방면,"1","1",잠실,"2815","8",석촌 방면,"1","1","02:38"
78,잠실,"0216","2",잠실새내 방면,"10","3",잠실,"2815","8",석촌 방면,"1","1","02:38"
79,잠실,"0216","2",잠실새내 방면,"10","3",잠실,"2815","8",몽촌토성 방면,"1","1","02:38"
80,잠실,"0216","2",잠실나루 방면,"1","1",잠실,"2815","8",몽촌토성 방면,"1","1","02:38"
81,선릉,"0220","2",삼성 방면,"5","2",선릉,"1023",수인분당선,한티 방면,"2","4","05:00"
82,선릉,"0220","2",역삼 방면,"6","3",선릉,"1023",수인분당선,한티 방면,"2","4","05:00"
83,선릉,"0220","2",삼성 방면,"6","3",선릉,"1023",수인분당선,선정릉 방면,"2","4","05:00"
84,선릉,"0220","2",역삼 방면,"5","2",선릉,"1023",수인분당선,선정릉 방면,"2","4","05:00"
85,교대,"0223","2",강남 방면,"10","4",교대,"0330","3",남부터미널 방면,"7","4","02:24"
86,교대,"0223","2",강남 방면,"10","4",교대,"0330","3",고속터미널 방면,"7","4","02:24"
87,교대,"0223","2",서초 방면,"1","2",교대,"0330","3",남부터미널 방면,"7","4","02:24"
88,교대,"0223","2",서초 방면,"1","2",교대,"0330","3",고속터미널 방면,"7","4","02:24"
89,사당,"0226","2",방배 방면,"5","3",사당,"0433","4",남태령 방면,"1","1","02:16"
90,사당,"0226","2",낙성대 방면,"6","1",사당,"0433","4",총신대입구 방면,"1","1","02:16"
91,사당,"0226","2",낙성대 방면,"6","1",사당,"0433","4",남태령 방면,"1","1","02:16"
92,사당,"0226","2",방배 방면,"5","3",사당,"0433","4",총신대입구 방면,"1","1","02:16"
93,신림,"0230","2",봉천 방면,"5","3",신림,"4408",신림선,서원 방면,"1","1","03:00"
94,신림,"0230",신림선,당곡 방면,"3","2",신림,"0230","2",봉천 방면,"5","3","02:24"
95,신림,"0230",신림선,당곡 방면,"3","2",신림,"0230","2",신대방 방면,"5","3","02:24"
96,신림,"0230","2",신대방 방면,"6","2",신림,"4408",신림선,서원 방면,"1","1","03:00"
97,신림,"0230",신림선,서원 방면,"1","1",신림,"0230","2",신대방 방면,"5","3","02:24"
98,신림,"0230",신림선,서원 방면,"1","1",신림,"0230","2",봉천 방면,"5","3","02:24"
99,신림,"0230","2",신대방 방면,"6","2",신림,"4408",신림선,당곡 방면,"1","1","03:00"
100,신림,"0230","2",봉천 방면,"5","3",신림,"4408",신림선,당곡 방면,"1","1","03:00"
101,대림,"0233","2",신도림 방면,"7","4",대림,"2746","7",신풍 방면,"1","1","04:05"
102,대림,"0233","2",구로디지털단지 방면,"4","1",대림,"2746","7",신풍 방면,"1","1","04:05"
103,대림,"0233","2",신도림 방면,"7","4",대림,"2746","7",남구로 방면,"1","1","04:05"
104,대림,"0233","2",구로디지털단지 방면,"4","1",대림,"2746","7",남구로 방면,"1","1","04:05"
105,신도림,"0234","2",문래 방면,"7","3",신도림,"0234","2",도림천 방면,"5","3","02:05"
106,신도림,"0234","2",문래 방면,"4","2",신도림,"1007","1",구로 방면,"5","1","03:08"
107,신도림,"0234","2",대림 방면,"7","3",신도림,"1007","1",구로 방면,"5","1","03:08"
108,신도림,"0234","2",대림 방면,"7","3",신도림,"0234","2",도림천 방면,"5","3","02:05"
109,신도림,"0234","2",대림 방면,"7","3",신도림,"1007","1",영등포 방면,"5","1","03:08"
110,신도림,"0234","2",문래 방면,"4","2",신도림,"1007","1",영등포 방면,"5","1","03:08"
878,신도림,"0234","2",문래 방면,"5","1",신도림,"0234","2",문래 방면,"7","3","02:05"
879,신도림,"0234","2",대림 방면,"5","1",신도림,"0234","2",대림 방면,"7","3","02:05"
880,신도림,"0234","2",구로 방면,"5","3",신도림,"1007","1",구로 방면,"5","1","02:28"
881,신도림,"0234","2",영등포 방면,"5","3",신도림,"1007","1",영등포 방면,"5","1","02:28"
111,영등포구청,"0236","2",문래 방면,"2","3",영등포구청,"2524","5",양평 방면,"2","3","04:19"
112,영등포구청,"0236","2",당산 방면,"7","4",영등포구청,"2524","5",양평 방면,"2","3","04:19"
113,영등포구청,"0236","2",당산 방면,"7","4",영등포구청,"2524","5",영등포시장 방면,"2","3","04:19"
114,영등포구청,"0236","2",문래 방면,"2","3",영등포구청,"2524","5",영등포시장 방면,"2","3","04:19"
115,당산,"0237","2",합정 방면,"8","1",당산,"4113","9",국회의사당 방면,"4","4","10:00"
116,당산,"0237","2",영등포구청 방면,"3","4",당산,"4113","9",국회의사당 방면,"4","4","10:00"
117,당산,"0237","2",영등포구청 방면,"3","4",당산,"4113","9",선유도 방면,"4","4","10:00"
118,당산,"0237","2",합정 방면,"8","1",당산,"4113","9",선유도 방면,"4","4","10:00"
119,합정,"0238","2",당산 방면,"2","2",합정,"2623","6",망원 방면,"6","3","02:41"
120,합정,"0238","2",홍대입구 방면,"9","3",합정,"2623","6",망원 방면,"6","3","02:41"
121,합정,"0238","2",홍대입구 방면,"9","3",합정,"2623","6",상수 방면,"6","3","02:41"
122,합정,"0238","2",당산 방면,"2","2",합정,"2623","6",상수 방면,"6","3","02:41"
123,홍대입구,"0239","2",합정 방면,"8","2",홍대입구,"1264",경의선,서강대 방면,"1","1","10:00"
124,홍대입구,"0239","2",합정 방면,"8","2",홍대입구,"4203",공항철도,공덕 방면,"2","2","10:00"
125,홍대입구,"0239","2",합정 방면,"8","2",홍대입구,"1264",경의선,가좌 방면,"1","1","10:00"
126,홍대입구,"0239","2",신촌 방면,"3","2",홍대입구,"4203",공항철도,디지털미디어시티 방면,"2","2","10:00"
127,홍대입구,"0239","2",신촌 방면,"3","2",홍대입구,"4203",공항철도,공덕 방면,"2","2","10:00"
128,홍대입구,"0239","2",합정 방면,"8","2",홍대입구,"4203",공항철도,디지털미디어시티 방면,"2","2","10:00"
129,홍대입구,"0239","2",신촌 방면,"3","3",홍대입구,"1264",경의선,서강대 방면,"1","1","10:00"
130,홍대입구,"0239","2",신촌 방면,"3","3",홍대입구,"1264",경의선,가좌 방면,"1","1","10:00"
131,충정로,"0243","2",아현 방면,"4","3",충정로,"2532","5",애오개 방면,"3","3","04:41"
132,충정로,"0243","2",시청 방면,"7","2",충정로,"2532","5",서대문 방면,"3","3","04:41"
133,충정로,"0243","2",아현 방면,"4","3",충정로,"2532","5",서대문 방면,"3","3","04:41"
134,충정로,"0243","2",시청 방면,"7","2",충정로,"2532","5",애오개 방면,"3","3","04:41"
135,신설동,"0246","2",동묘앞 방면,"1","1",신설동,"0156","1",동묘앞 방면,"2","1","03:07"
136,신설동,"0246","2",제기동 방면,"1","1",신설동,"0156","1",제기동 방면,"2","1","03:07"
137,신설동,"0246","2",보문 방면,"1","1",신설동,"4713",우이신설경전철,보문 방면,"2","1","03:07"
138,대곡,"0300",경의선,능곡 방면,"4","2",대곡,"1953","3",화정 방면,"7","4","10:00"
139,대곡,"0300",경의선,곡산 방면,"5","3",대곡,"1953","3",백석 방면,"7","4","10:00"
140,대곡,"0300",경의선,능곡 방면,"4","2",대곡,"1953","3",백석 방면,"7","4","10:00"
141,대곡,"0300",경의선,곡산 방면,"5","3",대곡,"1953","3",화정 방면,"7","4","10:00"
142,연신내,"0311","3",구파발 방면,"6","4",연신내,"2615","6",구산 방면,"6","2","04:02"
143,연신내,"0311","3",불광 방면,"6","4",연신내,"2615","6",구산 방면,"6","2","04:02"
144,불광,"0312","3",녹번 방면,"10","4",불광,"2613","6",독바위 방면,"2","3","03:50"
145,불광,"0312","3",연신내 방면,"1","1",불광,"2613","6",독바위 방면,"2","3","03:50"
146,종로3가,"0319","3",안국 방면,"10","4",종로3가,"0153","1",종로5가 방면,"6","1","02:41"
147,종로3가,"0319","3",을지로3가 방면,"9","2",종로3가,"2535","5",광화문 방면,"1","1","02:56"
148,종로3가,"0319","3",안국 방면,"10","4",종로3가,"0153","1",종각 방면,"6","1","02:41"
149,종로3가,"0319","3",안국 방면,"2","3",종로3가,"2535","5",광화문 방면,"1","1","02:56"
150,종로3가,"0319","3",을지로3가 방면,"2","3",종로3가,"0153","1",종로5가 방면,"6","1","02:41"
151,종로3가,"0319","3",을지로3가 방면,"1","1",종로3가,"0153","1",종각 방면,"6","1","02:41"
152,종로3가,"0319","3",을지로3가 방면,"9","2",종로3가,"2535","5",을지로4가 방면,"1","1","02:56"
153,종로3가,"0319","3",안국 방면,"2","3",종로3가,"2535","5",을지로4가 방면,"1","1","02:56"
154,을지로3가,"0320","3",종로3가 방면,"7","1",을지로3가,"0203","2",을지로4가 방면,"1","1","03:40"
155,을지로3가,"0320","3",종로3가 방면,"4","2",을지로3가,"0203","2",을지로입구 방면,"1","1","03:40"
156,을지로3가,"0320","3",충무로 방면,"7","2",을지로3가,"0203","2",을지로입구 방면,"1","1","03:40"
157,을지로3가,"0320","3",충무로 방면,"4","3",을지로3가,"0203","2",을지로4가 방면,"1","1","03:40"
158,충무로,"0321","3",동대입구 방면,"8","4",충무로,"0423","4",명동 방면,"7","1","01:41"
159,충무로,"0321","3",을지로3가 방면,"4","4",충무로,"0423","4",동대문역사문화공원 방면,"7","1","01:41"
160,충무로,"0321","3",동대입구 방면,"8","4",충무로,"0423","4",동대문역사문화공원 방면,"7","1","01:41"
161,충무로,"0321","3",을지로3가 방면,"3","4",충무로,"0423","4",명동 방면,"7","1","01:41"
162,약수,"0323","3",금호 방면,"7","1",약수,"2634","6",버티고개 방면,"1","1","02:41"
163,약수,"0323","3",금호 방면,"7","1",약수,"2634","6",청구 방면,"1","1","02:41"
164,약수,"0323","3",동대입구 방면,"4","3",약수,"2634","6",청구 방면,"1","1","02:41"
165,약수,"0323","3",동대입구 방면,"4","3",약수,"2634","6",버티고개 방면,"1","1","02:41"
166,옥수,"0325","3",압구정 방면,"4","1",옥수,"1011",경의선,응봉 방면,"4","4","03:36"
167,옥수,"0325","3",금호 방면,"1","4",옥수,"1011",경의선,응봉 방면,"4","4","03:36"
168,옥수,"0325","3",압구정 방면,"4","1",옥수,"1011",경의선,한남 방면,"4","4","03:36"
169,옥수,"0325","3",금호 방면,"1","4",옥수,"1011",경의선,한남 방면,"4","4","03:36"
170,고속터미널,"0329","3",잠원 방면,"2","3",고속터미널,"4123","9",신반포 방면,"2","1","10:00"
171,고속터미널,"0329","3",잠원 방면,"7","2",고속터미널,"2736","7",내방 방면,"7","1","04:22"
172,고속터미널,"0329","3",교대 방면,"9","2",고속터미널,"4123","9",신반포 방면,"2","1","10:00"
173,고속터미널,"0329","3",잠원 방면,"7","2",고속터미널,"2736","7",반포 방면,"7","1","04:22"
174,고속터미널,"0329","3",교대 방면,"2","3",고속터미널,"2736","7",반포 방면,"7","1","04:22"
175,고속터미널,"0329","3",교대 방면,"9","2",고속터미널,"4123","9",사평 방면,"2","1","10:00"
176,고속터미널,"0329","3",교대 방면,"2","3",고속터미널,"2736","7",내방 방면,"7","1","04:22"
177,고속터미널,"0329","3",잠원 방면,"2","3",고속터미널,"4123","9",사평 방면,"2","1","10:00"
178,교대,"0330","3",고속터미널 방면,"7","4",교대,"0223","2",강남 방면,"1","2","02:24"
179,교대,"0330","3",남부터미널 방면,"4","2",교대,"0223","2",강남 방면,"1","2","02:24"
180,교대,"0330","3",남부터미널 방면,"8","3",교대,"0223","2",서초 방면,"1","2","02:24"
181,교대,"0330","3",고속터미널 방면,"3","2",교대,"0223","2",서초 방면,"1","2","02:24"
182,양재,"0332","3",남부터미널 방면,"5","3",양재,"4308",신분당선,강남 방면,"6","4","10:00"
183,양재,"0332","3",남부터미널 방면,"5","3",양재,"4308",신분당선,양재시민의숲 방면,"6","4","10:00"
184,양재,"0332","3",매봉 방면,"6","1",양재,"4308",신분당선,강남 방면,"6","4","10:00"
185,양재,"0332","3",매봉 방면,"6","1",양재,"4308",신분당선,양재시민의숲 방면,"6","4","10:00"
186,도곡,"0334","3",매봉 방면,"6","1",도곡,"1025",수인분당선,한티 방면,"5","1","05:00"
187,도곡,"0334","3",대치 방면,"5","4",도곡,"1025",수인분당선,구룡 방면,"5","1","05:00"
188,도곡,"0334","3",매봉 방면,"6","1",도곡,"1025",수인분당선,구룡 방면,"5","1","05:00"
189,도곡,"0334","3",대치 방면,"5","4",도곡,"1025",수인분당선,한티 방면,"5","1","05:00"
190,수서,"0339","3",가락시장 방면,"9","1",수서,"1030",수인분당선,복정 방면,"6","1","01:29"
191,수서,"0339","3",가락시장 방면,"8","4",수서,"1030",수인분당선,대모산입구 방면,"6","1","01:29"
192,수서,"0339","3",일원 방면,"3","1",수서,"1030",수인분당선,대모산입구 방면,"6","1","01:29"
193,수서,"0339","3",일원 방면,"3","1",수서,"1030",수인분당선,복정 방면,"6","1","01:29"
194,가락시장,"0340","3",경찰병원 방면,"2","1",가락시장,"2818","8",송파 방면,"1","1","01:29"
195,가락시장,"0340","3",수서 방면,"10","1",가락시장,"2818","8",송파 방면,"1","1","01:29"
196,가락시장,"0340","3",수서 방면,"10","1",가락시장,"2818","8",문정 방면,"1","1","01:29"
197,가락시장,"0340","3",경찰병원 방면,"2","1",가락시장,"2818","8",문정 방면,"1","1","01:29"
198,오금,"0342","3",개롱 방면,"1","4",오금,"2558","5",개롱 방면,"1","4","01:29"
199,오금,"0342","3",방이 방면,"8","2",오금,"2558","5",방이 방면,"1","4","01:29"
200,노원,"0411","4",창동 방면,"1","1",노원,"2715","7",마들 방면,"8","4","06:33"
201,노원,"0411","4",상계 방면,"10","4",노원,"2715","7",중계 방면,"8","4","06:33"
202,노원,"0411","4",상계 방면,"10","4",노원,"2715","7",마들 방면,"8","4","06:33"
203,노원,"0411","4",창동 방면,"1","1",노원,"2715","7",중계 방면,"8","4","06:33"
204,창동,"0412","4",노원 방면,"7","3",창동,"1022","1",방학 방면,"7","1","02:13"
205,창동,"0412","4",쌍문 방면,"4","2",창동,"1022","1",방학 방면,"7","1","02:13"
206,창동,"0412","4",쌍문 방면,"4","2",창동,"1022","1",녹천 방면,"7","1","02:13"
207,창동,"0412","4",노원 방면,"7","3",창동,"1022","1",녹천 방면,"7","1","02:13"
208,성신여대입구,"0418","4",길음 방면,"5","4",성신여대입구,"4711",우이신설경전철,보문 방면,"2","2","03:07"
209,성신여대입구,"0418","4",한성대입구 방면,"5","2",성신여대입구,"4711",우이신설경전철,정릉 방면,"2","2","03:07"
210,성신여대입구,"0418","4",한성대입구 방면,"5","2",성신여대입구,"4711",우이신설경전철,보문 방면,"2","2","03:07"
211,동대문,"0421","4",혜화 방면,"8","1",동대문,"0155","1",동묘앞 방면,"9","3","04:23"
212,동대문,"0421","4",동대문역사문화공원 방면,"3","3",동대문,"0155","1",종로5가 방면,"9","3","04:23"
213,동대문,"0421","4",혜화 방면,"8","1",동대문,"0155","1",종로5가 방면,"9","3","04:23"
214,동대문,"0421","4",동대문역사문화공원 방면,"3","3",동대문,"0155","1",동묘앞 방면,"9","3","04:23"
215,동대문역사문화공원,"0422","4",동대문 방면,"9","1",동대문역사문화공원,"2537","5",을지로4가 방면,"1","1","02:34"
